xc_id,filename_wav,common_name,scientific_name,start_time,end_time,confidence
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,3.0,6.0,0.8755320310592651
1027240,CORVBRACH_1027240_QA.wav,Fish Crow,Corvus ossifragus,3.0,6.0,0.13715142011642456
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,9.0,12.0,0.2922092080116272
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,15.0,18.0,0.4207022786140442
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,18.0,21.0,0.7037913799285889
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,18.0,21.0,0.2706103026866913
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,24.0,27.0,0.9072880148887634
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,27.0,30.0,0.9654439091682434
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,30.0,33.0,0.833188533782959
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,33.0,36.0,0.2102983593940735
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,36.0,39.0,0.8989792466163635
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,39.0,42.0,0.4909381866455078
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,42.0,45.0,0.6873325705528259
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,45.0,48.0,0.8907937407493591
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,51.0,54.0,0.675641655921936
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,54.0,57.0,0.8998518586158752
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,60.0,63.0,0.18703001737594604
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,63.0,66.0,0.18495255708694458
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,69.0,72.0,0.49180909991264343
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,75.0,78.0,0.9280332922935486
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,84.0,87.0,0.9273808002471924
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,87.0,90.0,0.4034160077571869
1027240,CORVBRACH_1027240_QA.wav,Fish Crow,Corvus ossifragus,87.0,90.0,0.14594492316246033
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,90.0,93.0,0.31662213802337646
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,93.0,96.0,0.988149106502533
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,99.0,102.0,0.953204870223999
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,102.0,105.0,0.9878906011581421
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,111.0,114.0,0.8483895063400269
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,123.0,126.0,0.10721832513809204
1027240,CORVBRACH_1027240_QA.wav,Northern Cardinal,Cardinalis cardinalis,126.0,129.0,0.10857972502708435
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,132.0,135.0,0.4872993528842926
1027240,CORVBRACH_1027240_QA.wav,American Crow,Corvus brachyrhynchos,135.0,138.0,0.9387006163597107
